Date,Sunspot
1761-09-30,101.7
1761-10-30,116.7
1761-11-29,151.7
1761-12-29,134.5
1762-01-28,119.5
1762-02-27,178.7
1762-03-29,165.5
1762-04-28,156.8
1762-05-28,151.8
1762-06-27,167.8
1762-07-27,147.8
1762-08-26,149.5
1762-09-25,76.7
1762-10-25,73
1762-11-24,121.3
1762-12-24,76.2
1763-01-23,100.3
1763-02-22,66.5
1763-03-24,128.5
1763-04-23,56.3
1763-05-23,112.8
1763-06-22,114.2
1763-07-22,115.5
1763-08-21,129.7
1763-09-20,128.7
1763-10-20,94.2
1763-11-19,53.2
1763-12-19,57
1764-01-18,54.8
1764-02-17,54.5
1764-03-18,59.7
1764-04-17,90.3
1764-05-17,44.2
1764-06-16,113.5
1764-07-16,77.2
1764-08-15,101.5
1764-09-14,102.3
1764-10-14,99.5
1764-11-13,99.5
1764-12-13,67
1765-01-12,57.3
1765-02-11,73.8
1765-03-13,50
1765-04-12,50
1765-05-12,50
1765-06-11,47
1765-07-11,46.7
1765-08-10,43.3
1765-09-09,42.8
1765-10-09,40
1765-11-08,43.3
1765-12-08,41.7
1766-01-07,36.7
1766-02-06,33.7
1766-03-08,33.3
1766-04-07,45
1766-05-07,49.5
1766-06-06,26.7
1766-07-06,23.3
1766-08-05,23.3
1766-09-04,21.7
1766-10-04,20
1766-11-03,18.3
1766-12-03,61
1767-01-02,10
1767-02-01,44.7
1767-03-03,5
1767-04-02,5.5
1767-05-02,6.7
1767-06-01,7.2
1767-07-01,8.3
1767-07-31,9.5
1767-08-30,32
1767-09-29,45.7
1767-10-29,50
1767-11-28,71.7
1767-12-28,54.8
1768-01-27,49.7
1768-02-26,55.5
1768-03-27,36.5
1768-04-26,68
1768-05-26,71.2
1768-06-25,73.5
1768-07-25,91.2
1768-08-24,88.8
1768-09-23,89.2
1768-10-23,110.2
1768-11-22,77.2
1768-12-22,71.2
1769-01-21,129.5
1769-02-20,129
1769-03-22,87.7
1769-04-21,111.3
1769-05-21,124.7
1769-06-20,129.7
1769-07-20,151
1769-08-19,186.3
1769-09-18,123.2
1769-10-18,107
1769-11-17,107.2
1769-12-17,161.2
1770-01-16,122.7
1770-02-15,157.3
1770-03-17,197.7
1770-04-16,200.5
1770-05-16,248
1770-06-15,263.7
1770-07-15,246.8
1770-08-14,186.7
1770-09-13,173.3
1770-10-13,237.5
1770-11-12,133.5
1770-12-12,85
1771-01-11,116.8
1771-02-10,138.8
1771-03-12,183
1771-04-11,210.5
1771-05-11,174
1771-06-10,172.7
1771-07-10,220.3
1771-08-09,170.5
1771-09-08,60
1771-10-08,77
1771-11-07,77.8
1771-12-07,108.2
1772-01-06,254.5
1772-02-05,199.2
1772-03-06,112.8
1772-04-05,97.5
1772-05-05,169
1772-06-04,150
1772-07-04,166.2
1772-08-03,159.5
1772-09-02,168.2
1772-10-02,151.3
1772-11-01,51.8
1772-12-01,153.7
1772-12-31,63.3
1773-01-30,95
1773-03-01,128.8
1773-03-31,93.7
1773-04-30,84.2
1773-05-30,131
1773-06-29,102.2
1773-07-29,106.7
1773-08-28,91
1773-09-27,48.3
1773-10-27,85.3
1773-11-26,54.8
1773-12-26,68.5
1774-01-25,47.3
1774-02-24,46.2
1774-03-26,21.2
1774-04-25,48.8
1774-05-25,43.8
1774-06-24,68.2
1774-07-24,72
1774-08-23,78
1774-09-22,109
1774-10-22,92.8
1774-11-21,73
1774-12-21,85.5
1775-01-20,47.5
1775-02-19,29.2
1775-03-21,11
1775-04-20,13.2
1775-05-20,23.3
1775-06-19,29.5
1775-07-19,20.3
1775-08-18,7.3
1775-09-17,0
1775-10-17,19.3
1775-11-16,18.7
1775-12-16,6.5
1776-01-15,20.5
1776-02-14,1.7
1776-03-15,13.2
1776-04-14,5.3
1776-05-14,9.3
1776-06-13,25.2
1776-07-13,13.2
1776-08-12,36.2
1776-09-11,19.3
1776-10-11,10.5
1776-11-10,36.3
1776-12-10,18.7
1777-01-09,31.7
1777-02-08,1.7
1777-03-10,40.3
1777-04-09,26.7
1777-05-09,50
1777-06-08,58.3
1777-07-08,66.7
1777-08-07,75
1777-09-06,60.8
1777-10-06,65
1777-11-05,159.2
1777-12-05,133.8
1778-01-04,134.5
1778-02-03,158.3
1778-03-05,186.7
1778-04-04,193.7
1778-05-04,177.5
1778-06-03,243.3
1778-07-03,262.2
1778-08-02,295.5
1778-09-01,182.2
1778-10-01,223.3
1778-10-31,241.7
1778-11-30,398.2
1778-12-30,286
1779-01-29,255
1779-02-28,233.3
1779-03-30,286.2
1779-04-29,260.5
1779-05-29,250.5
1779-06-28,175
1779-07-28,191.2
1779-08-27,276.2
1779-09-26,196.7
1779-10-26,241.7
1779-11-25,233.3
1779-12-25,189.5
1780-01-24,238.3
1780-02-23,186.7
1780-03-24,185
1780-04-23,206.7
1780-05-23,190
1780-06-22,183.3
1780-07-22,116.7
1780-08-21,163.3
1780-09-20,163.3
1780-10-20,158.3
1780-11-19,178.7
1780-12-19,146.7
1781-01-18,143.3
1781-02-17,143.3
1781-03-19,156.2
1781-04-18,128.3
1781-05-18,100
1781-06-17,97.8
1781-07-17,164.5
1781-08-16,124.5
1781-09-15,88.3
1781-10-15,113.8
1781-11-14,174.5
1781-12-14,162.8
1782-01-13,122.5
1782-02-12,110
1782-03-14,85
1782-04-13,45.5
1782-05-13,111.7
1782-06-12,58.7
1782-07-12,90
1782-08-11,62.5
1782-09-10,61.7
1782-10-10,68.3
1782-11-09,90.5
1782-12-09,63.3
1783-01-08,61.7
1783-02-07,73.3
1783-03-09,56.7
1783-04-08,38.7
1783-05-08,52.5
1783-06-07,50
1783-07-07,46.7
1783-08-06,64.5
1783-09-05,44.5
1783-10-05,47.2
1783-11-04,38.3
1783-12-04,42
1784-01-03,53.7
1784-02-02,33.3
1784-03-03,30
1784-04-02,13.3
1784-05-02,25
1784-06-01,17.5
1784-07-01,21.7
1784-07-31,13.3
1784-08-30,18.3
1784-09-29,16.7
1784-10-29,10
1784-11-28,15
1784-12-28,10
1785-01-27,16.7
1785-02-26,16.7
1785-03-28,13.3
1785-04-27,28.3
1785-05-27,23.3
1785-06-26,10.8
1785-07-26,13.3
1785-08-25,15
1785-09-24,26.2
1785-10-24,34.5
1785-11-23,43.8
1785-12-23,60.5
1786-01-22,33.3
1786-02-21,53.3
1786-03-23,78.7
1786-04-22,67
1786-05-22,45.5
1786-06-21,62
1786-07-21,79.3
1786-08-20,79.5
1786-09-19,142.3
1786-10-19,153.8
1786-11-18,98.3
1786-12-18,138.3
1787-01-17,149.5
1787-02-16,185.8
1787-03-18,187.2
1787-04-17,193.3
1787-05-17,187.8
1787-06-16,224.5
1787-07-16,176.7
1787-08-15,145.7
1787-09-14,212
1787-10-14,224.7
1787-11-13,165.3
1787-12-13,213.3
1788-01-12,228.7
1788-02-11,262.2
1788-03-12,261.7
1788-04-11,235.8
1788-05-11,290
1788-06-10,230
1788-07-10,215.3
1788-08-09,238.8
1788-09-08,180.8
1788-10-08,188.3
1788-11-07,257
1788-12-07,235.8
1789-01-06,226.7
1789-02-05,235
1789-03-07,236.7
1789-04-06,157.8
1789-05-06,215.8
1789-06-05,190
1789-07-05,208.8
1789-08-04,200
1789-09-03,205.5
1789-10-03,205.8
1789-11-02,200
1789-12-02,195
1790-01-01,171.7
1790-01-31,186.7
1790-03-02,149.5
1790-04-01,223.3
1790-05-01,225.8
1790-05-31,171.7
1790-06-30,212.5
1790-07-30,160.5
1790-08-29,156.7
1790-09-28,155
1790-10-28,151.7
1790-11-27,115.5
1790-12-27,145
1791-01-26,128.8
1791-02-25,140.5
1791-03-27,136.7
1791-04-26,123.3
1791-05-26,121.2
1791-06-25,103.3
1791-07-25,123.3
1791-08-24,128.7
1791-09-23,122.8
1791-10-23,107
1791-11-22,118.3
1791-12-22,71.7
1792-01-21,110.8
1792-02-20,102.8
1792-03-21,111.7
1792-04-20,110
1792-05-20,96.7
1792-06-19,106.7
1792-07-19,105
1792-08-18,126.2
1792-09-17,103.3
1792-10-17,101.7
1792-11-16,76.3
1792-12-16,100
1793-01-15,98.3
1793-02-14,98.3
1793-03-16,95
1793-04-15,93.3
1793-05-15,93.3
1793-06-14,91.7
1793-07-14,92.5
1793-08-13,88.3
1793-09-12,87.2
1793-10-12,85
1793-11-11,83.3
1793-12-11,48.8
1794-01-10,40
1794-02-09,78.3
1794-03-11,73.3
1794-04-10,76.2
1794-05-10,75
1794-06-09,73.3
1794-07-09,63.3
1794-08-08,47.3
1794-09-07,92.8
1794-10-07,69.2
1794-11-06,68.3
1794-12-06,66.7
1795-01-05,18.5
1795-02-04,47.5
1795-03-06,112.3
1795-04-05,85.7
1795-05-05,35.7
1795-06-04,66.5
1795-07-04,21
1795-08-03,31
1795-09-02,51.7
1795-10-02,28.5
1795-11-01,21.5
1795-12-01,42.8
1795-12-31,22.5
1796-01-30,32.5
1796-02-29,41.7
1796-03-30,30
1796-04-29,36.7
1796-05-29,39.7
1796-06-28,26.2
1796-07-28,52.8
1796-08-27,35
1796-09-26,11.2
1796-10-26,44.8
1796-11-25,2.5
1796-12-25,30.7
1797-01-24,18.3
1797-02-23,14
1797-03-25,8.5
1797-04-24,24
1797-05-24,7
1797-06-23,6.7
1797-07-23,6.7
1797-08-22,12.2
1797-09-21,18.5
1797-10-21,7.2
1797-11-20,10
1797-12-20,9.5
1798-01-19,11.5
1798-02-18,9.7
1798-03-20,5
1798-04-19,3.3
1798-05-19,6.7
1798-06-18,20.7
1798-07-18,1.8
1798-08-17,0
1798-09-16,0
1798-10-16,0
1798-11-15,5
1798-12-15,4
1799-01-14,2.5
1799-02-13,20.8
1799-03-15,16.5
1799-04-14,2.7
1799-05-14,21
1799-06-13,36.2
1799-07-13,14
1799-08-12,13.7
1799-09-11,17.7
1799-10-11,3.5
1799-11-10,0
1799-12-10,0
1800-01-09,7.7
1800-02-08,4.5
1800-03-10,14.3
1800-04-09,11.5
1800-05-09,15.5
1800-06-08,23.2
1800-07-08,0
1800-08-07,8.3
1800-09-06,39.5
1800-10-06,35
1800-11-05,32.5
1800-12-05,19.2
1801-01-04,20.5
1801-02-03,17.5
1801-03-05,66.8
1801-04-04,45
1801-05-04,48.3
1801-06-03,50
1801-07-03,51.7
1801-08-02,53.3
1801-09-01,52
1801-10-01,58.3
1801-10-31,64.5
1801-11-30,55.8
1801-12-30,54.3
1802-01-29,66.3
1802-02-28,80.3
1802-03-30,79.7
1802-04-29,78.3
1802-05-29,68
1802-06-28,70
1802-07-28,73.3
1802-08-27,76.7
1802-09-26,80
1802-10-26,83.3
1802-11-25,86.3
1802-12-25,64.2
1803-01-24,57.5
1803-02-23,83.3
1803-03-25,83.3
1803-04-24,84.7
1803-05-24,49.2
1803-06-23,41.7
1803-07-23,73.8
1803-08-22,60
1803-09-21,80.5
1803-10-21,56.8
1803-11-20,75.5
1803-12-20,90.5
1804-01-19,85
1804-02-18,80
1804-03-19,75.5
1804-04-18,80.5
1804-05-18,80
1804-06-17,84.3
1804-07-17,55.7
1804-08-16,58
1804-09-15,49.7
1804-10-15,71.8
1804-11-14,88.3
1804-12-14,103.8
1805-01-13,101.7
1805-02-12,100
1805-03-14,101.7
1805-04-13,73.5
1805-05-13,85.7
1805-06-12,62.5
1805-07-12,65
1805-08-11,67.5
1805-09-10,62.7
1805-10-10,71.2
1805-11-09,74
1805-12-09,49
1806-01-08,68.3
1806-02-07,63.8
1806-03-09,65
1806-04-08,49.3
1806-05-08,54.5
1806-06-07,46.2
1806-07-07,44
1806-08-06,42.7
1806-09-05,50
1806-10-05,43.8
1806-11-04,40
1806-12-04,45
1807-01-03,41.7
1807-02-02,40
1807-03-04,20
1807-04-03,20.3
1807-05-03,16
1807-06-02,39.7
1807-07-02,16.7
1807-08-01,20
1807-08-31,21.2
1807-09-30,20
1807-10-30,9.5
1807-11-29,13.3
1807-12-29,4.3
1808-01-28,0
1808-02-27,0
1808-03-28,7.5
1808-04-27,0
1808-05-27,20.5
1808-06-26,22.5
1808-07-26,22.5
1808-08-25,11.2
1808-09-24,13.3
1808-10-24,19.5
1808-11-23,7.8
1808-12-23,17.5
1809-01-22,20.5
1809-02-21,12
1809-03-23,15.3
1809-04-22,1.5
1809-05-22,4.2
1809-06-21,3.3
1809-07-21,12.8
1809-08-20,0.5
1809-09-19,0.3
1809-10-19,0.7
1809-11-18,0
1809-12-18,0
1810-01-17,0
1810-02-16,0
1810-03-18,0
1810-04-17,0
1810-05-17,0
1810-06-16,0
1810-07-16,0
1810-08-15,0
1810-09-14,0
1810-10-14,0
1810-11-13,0
1810-12-13,0
1811-01-12,0
1811-02-11,0
1811-03-13,0
1811-04-12,0
1811-05-12,0
1811-06-11,0
1811-07-11,0
1811-08-10,11
1811-09-09,0
1811-10-09,4
1811-11-08,10.2
1811-12-08,1.3
1812-01-07,1.8
1812-02-06,18.8
1812-03-07,3.2
1812-04-06,1.2
1812-05-06,0
1812-06-05,1.7
1812-07-05,2.2
1812-08-04,0.8
1812-09-03,26
1812-10-03,8.7
1812-11-02,6.5
1812-12-02,13.2
1813-01-01,16.8
1813-01-31,0
1813-03-02,17.2
1813-04-01,3.2
1813-05-01,27.7
1813-05-31,9.2
1813-06-30,18.7
1813-07-30,30.5
1813-08-29,14
1813-09-28,25.5
1813-10-28,46.3
1813-11-27,27.8
1813-12-27,23.8
1814-01-26,37
1814-02-25,20
1814-03-27,9.5
1814-04-26,39.7
1814-05-26,9.7
1814-06-25,24.8
1814-07-25,30.8
1814-08-24,3.8
1814-09-23,13.5
1814-10-23,32.2
1814-11-22,24.2
1814-12-22,33.5
1815-01-21,32
1815-02-20,53.7
1815-03-22,43.7
1815-04-21,52.7
1815-05-21,16.3
1815-06-20,93.2
1815-07-20,59.2
1815-08-19,78.7
1815-09-18,52.5
1815-10-18,55.8
1815-11-17,62
1815-12-17,108.3
1816-01-16,43.8
1816-02-15,114.7
1816-03-16,122.8
1816-04-15,98
1816-05-15,73.8
1816-06-14,72.7
1816-07-14,64.7
1816-08-13,38.7
1816-09-12,79.7
1816-10-12,94
1816-11-11,63.5
1816-12-11,49.8
1817-01-10,60.7
1817-02-09,96.5
1817-03-11,160.3
1817-04-10,44
1817-05-10,35.3
1817-06-09,66.7
1817-07-09,83.3
1817-08-08,75
1817-09-07,61.2
1817-10-07,42.7
1817-11-06,48.2
1817-12-06,47.3
1818-01-05,58.1
1818-02-04,37.4
1818-03-06,42.4
1818-04-05,57.5
1818-05-05,88.5
1818-06-04,60.8
1818-07-04,46.8
1818-08-03,52.6
1818-09-02,43.4
1818-10-02,52.8
1818-11-01,18.3
1818-12-01,43
1818-12-31,54.7
1819-01-30,34.6
1819-03-01,6.3
1819-03-31,33.7
1819-04-30,32.6
1819-05-30,58.3
1819-06-29,52.5
1819-07-29,43.5
1819-08-28,24.8
1819-09-27,45.9
1819-10-27,41.8
1819-11-26,50.9
1819-12-26,32
1820-01-25,44.4
1820-02-24,7.5
1820-03-25,32.3
1820-04-24,48.9
1820-05-24,17.9
1820-06-23,34.1
1820-07-23,43.1
1820-08-22,8.6
1820-09-21,14.9
1820-10-21,13.2
1820-11-20,15.1
1820-12-20,36
1821-01-19,7
1821-02-18,9.5
1821-03-20,15.2
1821-04-19,2.8
1821-05-19,3
1821-06-18,4.3
1821-07-18,8
1821-08-17,7.3
1821-09-16,31.4
1821-10-16,7.3
1821-11-15,0.4
1821-12-15,0
1822-01-14,1.5
1822-02-13,26.9
1822-03-15,21.7
1822-04-14,2.4
1822-05-14,9.3
1822-06-13,13.2
1822-07-13,3.4
1822-08-12,0
1822-09-11,0.6
1822-10-11,0
1822-11-10,0
1822-12-10,0
1823-01-09,0
1823-02-08,1
1823-03-10,0
1823-04-09,0
1823-05-09,0
1823-06-08,0.8
1823-07-08,0
1823-08-07,0
1823-09-06,0
1823-10-06,0
1823-11-05,34
1823-12-05,36
1824-01-04,18
1824-02-03,0
1824-03-04,32.3
1824-04-03,4.6
1824-05-03,0
1824-06-02,0
1824-07-02,2.3
1824-08-01,34.3
1824-08-31,42
1824-09-30,0
1824-10-30,1.4
1824-11-29,8.4
1824-12-29,25.9
1825-01-28,37.4
1825-02-27,6.2
1825-03-29,25.8
1825-04-28,25.6
1825-05-28,51.5
1825-06-27,42.8
1825-07-27,26.2
1825-08-26,26
1825-09-25,19.6
1825-10-25,36.7
1825-11-24,29.4
1825-12-24,30.2
1826-01-23,61.3
1826-02-22,40
1826-03-24,53.9
1826-04-23,61.7
1826-05-23,87.5
1826-06-22,66
1826-07-22,31.6
1826-08-21,84.4
1826-09-20,65.8
1826-10-20,113.6
1826-11-19,57.7
1826-12-19,79
1827-01-18,96.3
1827-02-17,76.7
1827-03-19,93.8
1827-04-18,94.4
1827-05-18,70.4
1827-06-17,89.4
1827-07-17,82.6
1827-08-16,93.5
1827-09-15,80.4
1827-10-15,76.8
1827-11-14,88
1827-12-14,107.3
1828-01-13,108.5
1828-02-12,101.9
1828-03-13,148.6
1828-04-12,163.4
1828-05-12,90.4
1828-06-11,127.3
1828-07-11,83.9
1828-08-10,91.1
1828-09-09,95
1828-10-09,78.1
1828-11-08,71.6
1828-12-08,82.3
1829-01-07,120.6
1829-02-06,158.4
1829-03-08,112.3
1829-04-07,123.2
1829-05-07,151.5
1829-06-06,129.3
1829-07-06,88
1829-08-05,95.3
1829-09-04,112.7
1829-10-04,94.1
1829-11-03,87
1829-12-03,120.1
1830-01-02,141
1830-02-01,177.3
1830-03-03,110.5
1830-04-02,108.4
1830-05-02,73.2
1830-06-01,84.6
1830-07-01,103.4
1830-07-31,140.6
1830-08-30,135.4
1830-09-29,136.8
1830-10-29,79
1830-11-28,83.6
1830-12-28,155.8
1831-01-27,90.9
1831-02-26,63.4
1831-03-28,55.6
1831-04-27,75.4
1831-05-27,91.6
1831-06-26,63.2
1831-07-26,77.1
1831-08-25,72.5
1831-09-24,48.3
1831-10-24,51.5
1831-11-23,92.6
1831-12-23,91.9
1832-01-22,44.8
1832-02-21,68.9
1832-03-22,44.5
1832-04-21,23.3
1832-05-21,14.8
1832-06-20,13.7
1832-07-20,35.2
1832-08-19,23.8
1832-09-18,45.8
1832-10-18,18.7
1832-11-17,24.9
1832-12-17,19.6
1833-01-16,4.6
1833-02-15,21.5
1833-03-17,1.7
1833-04-16,11.6
1833-05-16,9.5
1833-06-15,19.3
1833-07-15,12.5
1833-08-14,9.8
1833-09-13,16.6
1833-10-13,8.2
1833-11-12,30.1
1833-12-12,6.5
1834-01-11,2.4
1834-02-10,14.8
1834-03-12,13.1
1834-04-11,14.4
1834-05-11,6.6
1834-06-10,19.2
1834-07-10,41.3
1834-08-09,50.9
1834-09-08,57.5
1834-10-08,12.4
1834-11-07,40.7
1834-12-07,32.7
1835-01-06,102.4
1835-02-05,72.6
1835-03-07,55.2
1835-04-06,99.6
1835-05-06,98.5
1835-06-05,168
1835-07-05,158.6
1835-08-04,166.7
1835-09-03,129.3
1835-10-03,147.6
1835-11-02,179.4
1835-12-02,163.7
1836-01-01,238
1836-01-31,185.7
1836-03-01,207.9
1836-03-31,194.6
1836-04-30,179.6
1836-05-30,158.5
1836-06-29,228.9
1836-07-29,201.5
1836-08-28,343.8
1836-09-27,313.4
1836-10-27,292.6
1836-11-26,224.3
1836-12-26,230.3
1837-01-25,186.1
1837-02-24,263.4
1837-03-26,271.2
1837-04-25,223.5
1837-05-25,160.4
1837-06-24,206.2
1837-07-24,178.4
1837-08-23,216.1
1837-09-22,241.5
1837-10-22,141.3
1837-11-21,234.5
1837-12-21,211.1
1838-01-20,229.4
1838-02-19,157.6
1838-03-21,180.4
1838-04-20,131.3
1838-05-20,122.7
1838-06-19,151.5
1838-07-19,129.2
1838-08-18,132.9
1838-09-17,175.9
1838-10-17,170.8
1838-11-16,129.5
1838-12-16,102.9
1839-01-15,89.6
1839-02-14,91.2
1839-03-16,141.3
1839-04-15,218.8
1839-05-15,221.1
1839-06-14,151.5
1839-07-14,114.7
1839-08-13,106.2
1839-09-12,135.4
1839-10-12,146.1
1839-11-11,112.9
1839-12-11,109.8
1840-01-10,115.4
1840-02-09,80.9
1840-03-10,101
1840-04-09,96.4
1840-05-09,123.3
1840-06-08,91.7
1840-07-08,90.4
1840-08-07,89.5
1840-09-06,40.1
1840-10-06,49.9
1840-11-05,49.6
1840-12-05,66.9
1841-01-04,112.4
1841-02-03,92.8
1841-03-05,51.4
1841-04-04,65.4
1841-05-04,60.9
1841-06-03,47.4
1841-07-03,32.9
1841-08-02,64.8
1841-09-01,34
1841-10-01,36.8
1841-10-31,36.2
1841-11-30,44.9
1841-12-30,41.4
1842-01-29,34.2
1842-02-28,21
1842-03-30,44.4
1842-04-29,30.6
1842-05-29,63.5
1842-06-28,67.5
1842-07-28,29.3
1842-08-27,22.2
1842-09-26,5.9
1842-10-26,13.9
1842-11-25,15.8
1842-12-25,35.1
1843-01-24,17.6
1843-02-23,15.9
1843-03-25,19.6
1843-04-24,6.9
1843-05-24,8.9
1843-06-23,31.7
1843-07-23,21.2
1843-08-22,15.7
1843-09-21,24.5
1843-10-21,22.5
1843-11-20,34.6
1843-12-20,19.2
1844-01-19,6.2
1844-02-18,35.2
1844-03-19,39.7
1844-04-18,11.6
1844-05-18,35.9
1844-06-17,17.9
1844-07-17,36
1844-08-16,42.8
1844-09-15,72.8
1844-10-15,72.1
1844-11-14,95
1844-12-14,79.7
1845-01-13,51.8
1845-02-12,51
1845-03-14,53.9
1845-04-13,49.3
1845-05-13,67.8
1845-06-12,65.7
1845-07-12,99.5
1845-08-11,64.6
1845-09-10,84.9
1845-10-10,106.5
1845-11-09,115.5
1845-12-09,99.9
1846-01-08,108.4
1846-02-07,77.5
1846-03-09,91.3
1846-04-08,178.6
1846-05-08,93.4
1846-06-07,100.6
1846-07-07,109.1
1846-08-06,104.4
1846-09-05,74.9
1846-10-05,143
1846-11-04,74.6
1846-12-04,125.7
1847-01-03,142.2
1847-02-02,87.1
1847-03-04,234.3
1847-04-03,268.2
1847-05-03,300.6
1847-06-02,231.5
1847-07-02,182.6
1847-08-01,265.2
1847-08-31,186.4
1847-09-30,181.2
1847-10-30,178.6
1847-11-29,170.5
1847-12-29,214.9
1848-01-28,232
1848-02-27,220.9
1848-03-28,167.3
1848-04-27,220.6
1848-05-27,191
1848-06-26,265.8
1848-07-26,298.3
1848-08-25,250.3
1848-09-24,182.7
1848-10-24,194.7
1848-11-23,153.2
1848-12-23,154.2
1849-01-22,148.2
1849-02-21,128.6
1849-03-23,178
1849-04-22,135.7
1849-05-22,188.2
1849-06-21,184.3
1849-07-21,148.2
1849-08-20,169.8
1849-09-19,156.8
1849-10-19,83.8
1849-11-18,117
1849-12-18,133
1850-01-17,74.3
1850-02-16,117
1850-03-18,163.7
1850-04-17,134.9
1850-05-17,104.1
1850-06-16,115.9
1850-07-16,143.5
1850-08-15,200.1
1850-09-14,122.8
1850-10-14,107.3
1850-11-13,118.9
1850-12-13,120
1851-01-12,68.6
1851-02-11,109
1851-03-13,128.9
1851-04-12,118.7
1851-05-12,96.8
1851-06-11,135.5
1851-07-11,129.9
1851-08-10,126.2
1851-09-09,116.2
1851-10-09,124.3
1851-11-08,104.3
1851-12-08,89
1852-01-07,80
1852-02-06,75.3
1852-03-07,71.2
1852-04-06,127.9
1852-05-06,103.1
1852-06-05,86.1
1852-07-05,77.9
1852-08-04,81.5
1852-09-03,71.6
1852-10-03,90.4
1852-11-02,65.9
1852-12-02,76
1853-01-01,87.2
1853-01-31,95.8
1853-03-02,63.7
1853-04-01,80.5
1853-05-01,54.7
1853-05-31,44.5
1853-06-30,29.3
1853-07-30,38
1853-08-29,39.4
1853-09-28,50.3
1853-10-28,45.6
1853-11-27,40.1
1853-12-27,35.5
1854-01-26,30.1
1854-02-25,42.6
1854-03-27,24.1
1854-04-26,53.5
1854-05-26,41.1
1854-06-25,23.4
1854-07-25,21.6
1854-08-24,33
1854-09-23,8.4
1854-10-23,17.3
1854-11-22,10
1854-12-22,0.7
1855-01-21,5.9
1855-02-20,0
1855-03-22,18.3
1855-04-21,7.9
1855-05-21,5.8
1855-06-20,1
1855-07-20,9.3
1855-08-19,0.7
1855-09-18,12.4
1855-10-18,0
1855-11-17,9.8
1855-12-17,8.8
1856-01-16,11.3
1856-02-15,8.4
1856-03-16,8.5
1856-04-15,14.7
1856-05-15,13.7
1856-06-14,26
1856-07-14,14.2
1856-08-13,10
1856-09-12,21.1
1856-10-12,54.2
1856-11-11,30.5
1856-12-11,42.2
1857-01-10,32
1857-02-09,80.6
1857-03-11,77.1
1857-04-10,59.6
1857-05-10,70.7
1857-06-09,74.2
1857-07-09,66.3
1857-08-08,109.2
1857-09-07,72.8
1857-10-07,78.6
1857-11-06,84.5
1857-12-06,107.7
1858-01-05,104.9
1858-02-04,152.2
